"ID";"RegioS";"Perioden";"Bevolkingsgroei_79";"Woningdichtheid_93";"GemiddeldeWoningwaarde_99";"ParticuliereHuishoudensExclStudenten_122";"Werkloosheid_155";"AantalHuisartsenpraktijkenBinnen3Km_210";"AfstandTotOpenbaarGroen_231";"AfstandTotOpritHoofdverkeersweg_232";"AfstandTotTreinstation_233"
"6029";"GM0772";"2018JJ00";"    2516";"    1249";"     226";"    39.5";"    3730";"    12.7";"       .";"     2.5";"     3.2"
"6055";"GM0230";"2018JJ00";"     -21";"     145";"     234";"    43.9";"     240";"     1.3";"       .";"     0.8";"     4.8"
"6081";"GM0231";"2018JJ00";"";"";"";"";"";"";"";"";""
"6107";"GM0114";"2018JJ00";"     -79";"     146";"     150";"    37.9";"    1990";"     2.3";"       .";"     2.1";"     5.6"
"6133";"GM0388";"2018JJ00";"      31";"     687";"     189";"    42.2";"     320";"     2.0";"       .";"     1.2";"     2.0"
"6159";"GM0153";"2018JJ00";"     725";"     523";"     167";"    36.2";"    2470";"    14.5";"       .";"     1.8";"     2.7"
"6185";"GM0232";"2018JJ00";"     282";"      91";"     275";"    44.6";"     420";"     3.5";"       .";"     2.3";"    10.2"
"6211";"GM0233";"2018JJ00";"      65";"     128";"     282";"    47.0";"     310";"     6.9";"       .";"     1.5";"     1.9"
"6237";"GM0776";"2018JJ00";"";"";"";"";"";"";"";"";""
"6263";"GM0777";"2018JJ00";"     242";"     339";"     239";"    44.2";"     750";"     4.0";"       .";"     1.7";"     2.0"
"6289";"GM0068";"2018JJ00";"";"";"";"";"";"";"";"";""
"6315";"GM1722";"2018JJ00";"     -96";"      38";"     153";"    39.4";"     110";"     1.5";"       .";"     1.2";"    15.6"
"6341";"GM0778";"2018JJ00";"";"";"";"";"";"";"";"";""
"6367";"GM0070";"2018JJ00";"";"";"";"";"";"";"";"";""
"6393";"GM1921";"2018JJ00";"";"";"";"";"";"";"";"";""
"6419";"GM1940";"2018JJ00";"    -312";"      66";"     205";"    42.6";"     770";"     2.2";"       .";"     1.8";"    14.0"
"6445";"GM0653";"2018JJ00";"";"";"";"";"";"";"";"";""
"6471";"GM0115";"2018JJ00";"";"";"";"";"";"";"";"";""
